Name          Position  Team   GP     G      A      PIM    SOG    GWG    P      P/G    PCT
Oshie         C         STL    30     7      13     15     65     1      20     0.67   10.77 
Sharp         C         CHI    28     6      14     14     88     1      20     0.71   6.82 
O'Reilly      C         COL    29     6      14     4      66     0      20     0.69   9.09 
Moss          LW        PHX    45     5      15     21     82     0      20     0.44   6.10 
Hedman        D         TB     44     4      16     31     76     0      20     0.45   5.26 
Dubinsky      C         CBJ    29     2      18     76     50     0      20     0.69   4.00 
Bailey        C         NYI    38     11     8      6      76     1      19     0.50   14.47 
Sutter        C         PIT    48     11     8      4      82     5      19     0.40   13.41 
Silfverberg   LW        OTT    48     10     9      12     134    2      19     0.40   7.46 
Goc           C         FLA    42     9      10     8      92     1      19     0.45   9.78 
Sobotka       C         STL    48     8      11     35     69     2      19     0.40   11.59 
Greening      C         OTT    47     8      11     11     80     2      19     0.40   10.00 
Tarasenko     RW        STL    38     8      11     10     75     1      19     0.50   10.67 
Killorn       C         TB     38     7      12     14     82     2      19     0.50   8.54 
Wilson        C         NSH    25     7      12     4      26     1      19     0.76   26.92 
Chara         D         BOS    48     7      12     70     119    2      19     0.40   5.88 
Winnik        LW        ANA    48     6      13     16     95     1      19     0.40   6.32 
Foligno       LW        CBJ    45     6      13     28     69     2      19     0.42   8.70 
Johnson       D         CBJ    44     5      14     12     96     1      19     0.43   5.21 
Wiercioch     D         OTT    42     5      14     39     81     0      19     0.45   6.17 
McDonagh      D         NYR    47     4      15     22     83     1      19     0.40   4.82 
Zidlicky      D         NJ     48     4      15     38     101    0      19     0.40   3.96 
Clowe         RW        NYR    40     3      16     93     87     0      19     0.48   3.45 
Lupul         RW        TOR    16     11     7      12     42     3      18     1.13   26.19 
Anisimov      C         CBJ    35     11     7      12     68     3      18     0.51   16.18 
Atkinson      RW        CBJ    35     9      9      4      91     1      18     0.51   9.89 
Havlat        LW        SJ     40     8      10     30     89     1      18     0.45   8.99 
Umberger      C         CBJ    48     8      10     16     96     0      18     0.38   8.33 
Torres        LW        SJ     39     7      11     17     60     0      18     0.46   11.67 
Stoll         C         LA     48     7      11     28     73     3      18     0.38   9.59 
Peverley      C         BOS    47     6      12     16     95     0      18     0.38   6.32 
Antropov      RW        WPG    40     6      12     16     56     0      18     0.45   10.71 
Stafford      RW        BUF    46     6      12     21     121    0      18     0.39   4.96 
Leddy         D         CHI    48     6      12     10     65     2      18     0.38   9.23 
Josi          D         NSH    48     5      13     8      96     1      18     0.38   5.21 
Foligno       LW        BUF    47     5      13     41     55     0      18     0.38   9.09 
Paille        LW        BOS    46     10     7      8      70     1      17     0.37   14.29 
Filppula      C         DET    41     9      8      6      78     0      17     0.41   11.54 
Landeskog     LW        COL    36     9      8      22     109    1      17     0.47   8.26 
Cervenka      C         CGY    39     9      8      14     51     0      17     0.44   17.65 
Fehr          RW        WSH    41     9      8      10     72     2      17     0.41   12.50 
Mueller       RW        FLA    43     8      9      18     131    0      17     0.40   6.11 
McClement     C         TOR    48     8      9      11     48     0      17     0.35   16.67 
Players with highest points and their teams: 
Player: St.Louis from Team: TB

Most aggressive players, their teams and their positions: 
Player: Clowe from Team: NYR Position: RW
Player: Ott from Team: BUF Position: C

Most valuable players and their teams: 
Player: Carter from Team: LA

Most promising players and their teams: 
Player: Ovechkin from Team: WSH

Teams that had the most number of penalty minutes: 
BOS with 286 penalty minutes

Teams that had the most number of game winning goals: 
BOS with 22 goal winning goals!
NYR with 22 goal winning goals!

Teams that had the least number of game winning goals: 
FLA with 4 goal winning goals
NSH with 4 goal winning goals
